GENRE;ORDER;SPECIES;QUALITY;SOURCE;INFO1;INFO2;INFO3
Cnidaria;Hydrozoa(Hydroida&Trachylina);Solmissus;;Oba,2021;Narcomedusae;Cuninidae;
Cnidaria;Hydrozoa(Hydroida&Trachylina);Colobonema;;Oba,2021;Trachymedusae;Rhopalonematidae;
Cnidaria;Hydrozoa(Hydroida&Trachylina);Crossota;;Oba,2021;Trachymedusae;Rhopalonematidae;
Cnidaria;Hydrozoa(Hydroida&Trachylina);Bythotiara;;Haddocketal.,2010;Anthomedusae;Bythotiaridae;
Cnidaria;Hydrozoa(Hydroida&Trachylina);Bythotiara;;Haddocketal.,2010;Euphysoravaldiviae->Corymorphavaldiviae;Anthomedusae;Corymorphidae
Cnidaria;Hydrozoa(Hydroida&Trachylina);Halicreas;;Haddocketal.,2010;Trachymedusae;Halicreatidae;
Cnidaria;Hydrozoa(Hydroida&Trachylina);Haliscera;;Haddocketal.,2010;Trachymedusae;Halicreatidae;
Cnidaria;Hydrozoa(Hydroida&Trachylina);Halitrephes;;Haddocketal.,2010;Trachymedusae;Halicreatidae;
Cnidaria;Hydrozoa(Hydroida&Trachylina);Halopsis;;Haddocketal.,2010;Leptomedusae;Mitrocomidae;
Cnidaria;Hydrozoa(Hydroida&Trachylina);Mitrocomella;;Haddocketal.,2010;Leptomedusae;Mitrocomidae;
Cnidaria;Hydrozoa(Hydroida&Trachylina);Pandea;;Haddocketal.,2010;Anthomedusae;Pandeidae;
Cnidaria;Hydrozoa(Hydroida&Trachylina);Pegantha;;Haddocketal.,2010;Narcomedusae;Solmarisidae;
Cnidaria;Hydrozoa(Hydroida&Trachylina);Solmundella;;Haddocketal.,2010;Narcomedusae;Solmundaeginidae;
Cnidaria;Siphonophora;Abyla;;Oba,2021;Abylidae;;
Cnidaria;Siphonophora;Abylopsis;;Oba,2021;Abylidae;;
Cnidaria;Siphonophora;Bassia;;Oba,2021;Abylidae;;
Cnidaria;Siphonophora;Ceratocymba;;Oba,2021;Abylidae;;
Cnidaria;Siphonophora;Agalma;;Oba,2021;Agalmatidae;;
Cnidaria;Siphonophora;Halistemma;;Oba,2021;Agalmatidae;;
Cnidaria;Siphonophora;Nanomia;;Oba,2021;Agalmatidae;;
Cnidaria;Siphonophora;Apolemia;;Oba,2021;Apolemiidae;;
Cnidaria;Siphonophora;Chelophyes;;Oba,2021;Diphyidae;;
Cnidaria;Siphonophora;Diphyes;;Oba,2021;Diphyidae;;
Cnidaria;Siphonophora;Sulculeolaria;;Oba,2021;Diphyidae;;
Cnidaria;Siphonophora;Forskalia;;Oba,2021;Forskaliidae;;
Cnidaria;Siphonophora;Hippopodius;;Oba,2021;Hippopodiidae;;
Cnidaria;Siphonophora;Vogtia;;Oba,2021;Hippopodiidae;;
Cnidaria;Siphonophora;Amphicaryon;;Oba,2021;Prayidae;;
Cnidaria;Siphonophora;Maresearsia;;Oba,2021;Prayidae;;
Cnidaria;Siphonophora;Nectopyramis;;Oba,2021;Prayidae;;
