Group;Species;Biolum
Ctenophora;Beroe;bioluminescent
Ctenophora;Aulacoctena;bioluminescent
Ctenophora;Bathocyroe;bioluminescent
Ctenophora;Bathyctena;bioluminescent
Ctenophora;Charistephane;bioluminescent
Ctenophora;Euplokamis;bioluminescent
Ctenophora;Kiyohimea;bioluminescent
Ctenophora;Thalassocalyce;bioluminescent
Nemertea;Emplectonema;bioluminescent
Gastropoda;Angiola;bioluminescent
Gastropoda;Planaxis;bioluminescent
Gastropoda;Hinea;bioluminescent
Gastropoda;Melanella;bioluminescent
Gastropoda;Kaloplocamus;bioluminescent
Gastropoda;Plocamopherus;bioluminescent
Gastropoda;Kalinga;bioluminescent
Gastropoda;Phylliroe;bioluminescent
Gastropoda;Latia;bioluminescent
Gastropoda;Quantula;bioluminescent
Gastropoda;Dyakia;bioluminescent
Gastropoda;Hemiplecta;bioluminescent
Bivalvia;Gastrochaena;bioluminescent
Bivalvia;Pholas;bioluminescent
Bivalvia;Cucullaea;bioluminescent
Cephalopoda;Spirula;bioluminescent
Cephalopoda;Euprymna;bioluminescent
Cephalopoda;Heteroteuthis;bioluminescent
Cephalopoda;Inioteuthis;bioluminescent
Cephalopoda;Iridoteuthis;bioluminescent
Cephalopoda;Nectoteuthis;bioluminescent
Cephalopoda;Rondeletiola;bioluminescent
Cephalopoda;Semirossia;bioluminescent
Cephalopoda;Sepiola;bioluminescent
Cephalopoda;Sepiolina;bioluminescent
Cephalopoda;Stoloteuthis;bioluminescent
Cephalopoda;Amphorateuthis;bioluminescent
Cephalopoda;Loliolus;bioluminescent
Cephalopoda;Uroteuthis;bioluminescent
Cephalopoda;Lampadioteuthis;bioluminescent
Cephalopoda;Lycoteuthis;bioluminescent
Cephalopoda;Nematolampas;bioluminescent
Cephalopoda;Selenoteuthis;bioluminescent
Cephalopoda;Abralia;bioluminescent
Cephalopoda;Abraliopsis;bioluminescent
Cephalopoda;Ancistrocheirus;bioluminescent
Cephalopoda;Enoploteuthis;bioluminescent
Cephalopoda;Pterygioteuthis;bioluminescent
Cephalopoda;Pyroteuthis;bioluminescent
Cephalopoda;Ancistrocheirus;bioluminescent
Cephalopoda;Watasenia;bioluminescent
Cephalopoda;Octopoteuthis;bioluminescent
Cephalopoda;Taningia;bioluminescent
Cephalopoda;Onychoteuthis;bioluminescent
Cephalopoda;Cycloteuthis;bioluminescent
Cephalopoda;Discoteuthis;bioluminescent
Cephalopoda;Gonatus;bioluminescent
Cephalopoda;Histioteuthis;bioluminescent
Cephalopoda;Bathyteuthis;bioluminescent
Cephalopoda;Chtenopteryx;bioluminescent
Cephalopoda;Brachioteuthis;bioluminescent
Cephalopoda;Slosarczykovia;bioluminescent
Cephalopoda;Batoteuthis;bioluminescent
Cephalopoda;Dosidicus;bioluminescent
Cephalopoda;Hyaloteuthis;bioluminescent
Cephalopoda;Ommastrephes;bioluminescent
Cephalopoda;Ornithoteuthis;bioluminescent
Cephalopoda;Sthenoteuthis;bioluminescent
Cephalopoda;Chiroteuthis;bioluminescent
Cephalopoda;Echinoteuthis;bioluminescent
Cephalopoda;Mastigoteuthis;bioluminescent
Cephalopoda;Idioteuthis;bioluminescent
Cephalopoda;Mastigopsis;bioluminescent
Cephalopoda;Mastigotragus;bioluminescent
Cephalopoda;Grimalditeuthis;bioluminescent
Cephalopoda;Bathothauma;bioluminescent
Cephalopoda;Cranchia;bioluminescent
Cephalopoda;Enigmocranchia;bioluminescent
Cephalopoda;Egea;bioluminescent
Cephalopoda;Galiteuthis;bioluminescent
Cephalopoda;Helicocranchia;bioluminescent
Cephalopoda;Leachia;bioluminescent
Cephalopoda;Liguriella;bioluminescent
Cephalopoda;Liocranchia;bioluminescent
Cephalopoda;Megalocranchia;bioluminescent
Cephalopoda;Mesonychoteuthis;bioluminescent
Cephalopoda;Sandalops;bioluminescent
Cephalopoda;Taonius;bioluminescent
Cephalopoda;Teuthowenia;bioluminescent
Cephalopoda;Vampyroteuthis;bioluminescent
Cephalopoda;Bolitaena;bioluminescent
Cephalopoda;Japetella;bioluminescent
Cephalopoda;Stauroteuthis;bioluminescent
Annelida;Tomopteris;bioluminescent
Annelida;Odontosyllis;bioluminescent
Annelida;Pionosyllis;bioluminescent
Annelida;Eusyllis;bioluminescent
Annelida;Aglaophamus;bioluminescent
Annelida;Acholoe;bioluminescent
Annelida;Eunoe;bioluminescent
Annelida;Gattyana;bioluminescent
Annelida;Harmothoe;bioluminescent
Annelida;Hesperonoe;bioluminescent
Annelida;Lagisca;bioluminescent
Annelida;Lepidasthenia;bioluminescent
Annelida;Lepidonotus;bioluminescent
Annelida;Malmgrenia;bioluminescent
Annelida;Neopolynoe;bioluminescent
Annelida;Polyeunoa;bioluminescent
Annelida;Polynoe;bioluminescent
Annelida;Onuphis;bioluminescent
Annelida;Chaetopterus;bioluminescent
Annelida;Mesochatopterus;bioluminescent
Annelida;Dodecaceria;bioluminescent
Annelida;Tharyx;bioluminescent
Annelida;Caulleriella;bioluminescent
Annelida;Chaetozone;bioluminescent
Annelida;Flabelligera;bioluminescent
Annelida;Pherusa;bioluminescent
Annelida;Flota;bioluminescent
Annelida;Polycirrus;bioluminescent
Annelida;Thelepus;bioluminescent
Annelida;Poeobius;bioluminescent
Annelida;Swima;bioluminescent
Annelida;Eisenia;bioluminescent
Annelida;Digaster;bioluminescent
Annelida;Diplocardia;bioluminescent
Annelida;Diplotrema;bioluminescent
Annelida;Eutyphoeus;bioluminescent
Annelida;Fletcherodrilus;bioluminescent
Annelida;Lampito;bioluminescent
Annelida;Megascolex;bioluminescent
Annelida;Microscolex;bioluminescent
Annelida;Octochaetus;bioluminescent
Annelida;Parachilota;bioluminescent
Annelida;Pontodrilus;bioluminescent
Annelida;Ramiella;bioluminescent
Annelida;Spenceriella;bioluminescent
Annelida;Avelona;bioluminescent
Annelida;Henlea;bioluminescent
Annelida;Fridericia;bioluminescent
Chelicerata;Colossendeis;bioluminescent
Crustacea;Centraugaptilus;bioluminescent
Crustacea;Euaugaptilus;bioluminescent
Crustacea;Haloptilus;bioluminescent
Crustacea;Heteroptilus;bioluminescent
Crustacea;Pseudhaloptilus;bioluminescent
Crustacea;Lucicutia;bioluminescent
Crustacea;Disseta;bioluminescent
Crustacea;Hemirhabdus;bioluminescent
Crustacea;Neorhabdus;bioluminescent
Crustacea;Heterorhabdus;bioluminescent
Crustacea;Heterostylites;bioluminescent
Crustacea;Gaussia;bioluminescent
Crustacea;Metridia;bioluminescent
Crustacea;Pleuromamma;bioluminescent
Crustacea;Megacalanus;bioluminescent
Crustacea;Aegisthus;bioluminescent
Crustacea;Oncaea;bioluminescent
Crustacea;Cypridina;bioluminescent
Crustacea;Vargula;bioluminescent
Crustacea;Photeros;bioluminescent
Crustacea;Sheina;bioluminescent
Crustacea;Enewton;bioluminescent
Crustacea;Kornickeria;bioluminescent
Crustacea;Maristella;bioluminescent
Crustacea;Conchoecia;bioluminescent
Crustacea;Alacia;bioluminescent
Crustacea;Conchoecetta;bioluminescent
Crustacea;Conchoecilla;bioluminescent
Crustacea;Conchoecissa;bioluminescent
Crustacea;Discoconchoecia;bioluminescent
Crustacea;Hyalocoecia;bioluminescent
Crustacea;Lophuroecia;bioluminescent
Crustacea;Loricoecia;bioluminescent
Crustacea;Macrochoecilla;bioluminescent
Crustacea;Mikroconchoecia;bioluminescent
Crustacea;Orthoconchoecia;bioluminescent
