"Group" "Concept" "Biolum" "Habitat"
"1940" "Fishes" "Paralepididae" "unlikely" "pelagic"
"1943" "Annelida" "Pelagobia longicirrata" "non-bioluminescent" "pelagic"
"1954" "Scyphozoa" "Periphylla periphylla" "bioluminescent" "pelagic"
"1955" "Siphonophora" "Physonectae" "bioluminescent" "pelagic"
"1997" "Fishes" "Pleuronectiformes 2" "undefined" "pelagic"
"1998" "Annelida" "Poeobius meseres" "bioluminescent" "pelagic"
"2282" "Annelida" "Poeobius 2" "bioluminescent" "pelagic"
"2366" "Annelida" "Polychaeta" "undefined" "pelagic"
"2368" "Scyphozoa" "Poralia rufescens" "bioluminescent" "pelagic"
"2369" "Siphonophora" "Prayidae" "bioluminescent" "pelagic"
"2379" "Chaetognatha" "Pseudosagitta" "non-bioluminescent" "pelagic"
"2381" "Pteropoda" "Pseudothecosomata" "non-bioluminescent" "pelagic"
"2384" "Pteropoda" "Pteropoda" "undefined" "pelagic"
"2386" "Pteropoda" "Pterotrachea" "non-bioluminescent" "pelagic"
"2387" "Rhizaria" "Radiozoa" "likely" "pelagic"
"2427" "Siphonophora" "Resomia ornicephala" "bioluminescent" "pelagic"
"2428" "Siphonophora" "Resomia persica" "bioluminescent" "pelagic"
"2431" "Hydromedusae" "Rhopalonematidae" "undefined" "pelagic"
"2458" "Siphonophora" "Rosacea" "bioluminescent" "pelagic"
"2459" "Siphonophora" "Siphonophorae" "likely" "pelagic"
"2484" "Hydromedusae" "Solmaris" "bioluminescent" "pelagic"
"2593" "Hydromedusae" "Solmissus" "bioluminescent" "pelagic"
"2620" "Hydromedusae" "Solmundella" "bioluminescent" "pelagic"
"2624" "Siphonophora" "Sphaeronectes christiansonae" "bioluminescent" "pelagic"
"2625" "Siphonophora" "Sphaeronectes" "bioluminescent" "pelagic"
"2634" "Fishes" "Sternoptychidae" "bioluminescent" "pelagic"
"2635" "Hydromedusae" "Tetrorchis erythrogaster" "bioluminescent" "pelagic"
"2636" "Cephalopoda" "Teuthoidea" "undefined" "pelagic"
"2637" "Ctenophora" "Thalassocalyce inconstans" "bioluminescent" "pelagic"
"2642" "Scyphozoa" "Tiburonia granrojo" "undefined" "pelagic"
"2646" "Annelida" "Tomopteris" "bioluminescent" "pelagic"
"2662" "Rhizaria" "Tuscarantha braueri" "bioluminescent" "pelagic"
"2664" "Ctenophora" "Velamen parallelum" "bioluminescent" "pelagic"
"2681" "Thaliacea" "Vitreosalpa gemini" "non-bioluminescent" "pelagic"
"3224" "Scyphozoa" "Atolla vanhoeffeni" "bioluminescent" "pelagic"
"3232" "Siphonophora" "Bargmannia lata" "bioluminescent" "pelagic"
"3302" "Fishes" "Bathylagus" "unlikely" "pelagic"
"3546" "Cephalopoda" "Chiroteuthis calyx" "bioluminescent" "pelagic"
"3638" "Ctenophora" "Deiopea" "bioluminescent" "pelagic"
"3784" "Hydromedusae" "Eutima" "bioluminescent" "pelagic"
"3785" "Siphonophora" "Frillagalma vityazi" "bioluminescent" "pelagic"
"3786" "Cephalopoda" "Galiteuthis" "bioluminescent" "pelagic"
"3795" "Siphonophora" "Gymnopraia lapislazula" "bioluminescent" "pelagic"
"3863" "Hydromedusae" "LRJ complex" "undefined" "benthic"
"4349" "Crustacea" "Polychelidae 2" "undefined" "pelagic"
"4352" "Siphonophora" "Prayinae" "bioluminescent" "pelagic"
"4366" "Thaliacea" "Salpida" "non-bioluminescent" "pelagic"
"4424" "Siphonophora" "Stephanomia amphytridis" "bioluminescent" "pelagic"
"4426" "Fishes" "Tactostoma macropus" "bioluminescent" "pelagic"
"4440" "Rhizaria" "Tuscaroridae" "bioluminescent" "pelagic"
"4447" "Annelida" "Typhloscolecidae" "undefined" "pelagic"
"4448" "Cephalopoda" "Vampyroteuthis infernalis" "bioluminescent" "pelagic"
"4469" "Siphonophora" "Vogtia serrata" "bioluminescent" "pelagic"
"5266" "Ctenophora" "Beroe forskalii" "bioluminescent" "pelagic"
"5604" "Ctenophora" "Charistephane" "bioluminescent" "pelagic"
"5605" "Cephalopoda" "Chiroteuthidae" "bioluminescent" "pelagic"
"5632" "Siphonophora" "Clausophyes" "bioluminescent" "pelagic"
"5640" "Siphonophora" "Craseoa lathetica" "bioluminescent" "pelagic"
"5847" "Hydromedusae" "Eumedusa" "bioluminescent" "pelagic"
"5848" "Hydromedusae" "Euphysa" "bioluminescent" "pelagic"
"5903" "Hydromedusae" "Halicreatidae" "undefined" "pelagic"
"5942" "Ctenophora" "Kiyohimea usagi" "bioluminescent" "pelagic"
"5966" "Siphonophora" "Lychnagalma utricularia" "non-bioluminescent" "pelagic"
"5981" "Fishes" "Melanostigma pammelas" "unlikely" "pelagic"
"5989" "Fishes" "Merluccius productus" "non-bioluminescent" "pelagic"
"6438" "Crustacea" "Pasiphaeidae" "undefined" "pelagic"
"6512" "Hydromedusae" "Rhopalonema" "bioluminescent" "pelagic"
"7349" "Ctenophora" "Beroe gracilis" "bioluminescent" "pelagic"
"7357" "Ctenophora" "Beroe abyssicola" "bioluminescent" "pelagic"
"7739" "Pteropoda" "Clione" "non-bioluminescent" "pelagic"
"7746" "Hydromedusae" "Crossota" "bioluminescent" "pelagic"
"7832" "Cephalopoda" "Doryteuthis opalescens" "non-bioluminescent" "pelagic"
"7893" "Ctenophora" "Euplokamis" "bioluminescent" "pelagic"
"7985" "Ctenophora" "Haeckelia" "bioluminescent" "pelagic"
"8048" "Fishes" "Lycodapus" "unlikely" "pelagic"
"8085" "Ctenophora" "Mertensiidae sp. A" "bioluminescent" "pelagic"
"8510" "Siphonophora" "Praya dubia" "bioluminescent" "pelagic"
"8513" "Hydromedusae" "Ptychogena lactea" "bioluminescent" "pelagic"
"8527" "Crustacea" "Scinidae" "bioluminescent" "pelagic"
"8585" "Rhizaria" "Tuscarilla similis" "bioluminescent" "pelagic"
"10326" "Siphonophora" "Clausophyidae" "bioluminescent" "pelagic"
"10332" "Thaliacea" "Cyclosalpa" "non-bioluminescent" "pelagic"
"10718" "Cephalopoda" "Histioteuthis heteropsis" "bioluminescent" "pelagic"
"10730" "Siphonophora" "Lensia hostile" "bioluminescent" "pelagic"
"10734" "Hydromedusae" "Leptomedusae" "undefined" "pelagic"
"10798" "Hydromedusae" "Melicertum octocostatum" "bioluminescent" "pelagic"
"10802" "Ctenophora" "Mertensia" "bioluminescent" "pelagic"
"11089" "Hydromedusae" "Modeeria rotunda" "bioluminescent" "pelagic"
"11410" "Crustacea" "Pasiphaea" "undefined" "pelagic"
"11719" "Fishes" "Tarletonbeania" "bioluminescent" "pelagic"
"11797" "Rhizaria" "Tuscarantha luciae" "bioluminescent" "pelagic"
"12000" "Siphonophora" "Apolemia lanosa" "bioluminescent" "pelagic"
"13041" "Hydromedusae" "Branchiocerianthus imperator" "undefined" "benthic"
"13123" "Crustacea" "Caridea" "undefined" "benthic"
"13127" "Fishes" "Cetomimiformes" "undefined" "pelagic"
"13699" "Crustacea" "Decapoda" "unlikely" "pelagic"
"14190" "Ctenophora" "Euplokamis dunlapae" "bioluminescent" "pelagic"
"14210" "Crustacea" "Galatheidae" "non-bioluminescent" "benthic"
"14211" "Crustacea" "Gigantocypris agassizii" "non-bioluminescent" "pelagic"
"14237" "Hydromedusae" "Halitrephes maasi" "bioluminescent" "pelagic"
"14322" "Hydromedusae" "Heterotiara minor" "bioluminescent" "pelagic"
"14383" "Fishes" "Idiacanthus" "bioluminescent" "pelagic"
"14390" "Ctenophora" "Lampea" "bioluminescent" "pelagic"
"14411" "Siphonophora" "Lensia havock" "bioluminescent" "pelagic"
"14435" "Fishes" "Liparidae" "undefined" "benthic"
"14440" "Fishes" "Lycenchelys" "unlikely" "benthic"
"14453" "Siphonophora" "Marrus" "bioluminescent" "pelagic"
"14454" "Siphonophora" "Marrus claudanielis" "bioluminescent" "pelagic"
"14477" "Crustacea" "Munneurycope" "non-bioluminescent" "pelagic"
"14493" "Crustacea" "Munnopsis" "non-bioluminescent" "pelagic"
"14963" "Pteropoda" "Mystery Mollusc" "bioluminescent" "pelagic"
"15149" "Siphonophora" "Nectadamas diomedeae" "bioluminescent" "pelagic"
"15150" "Crustacea" "Neolithodes" "non-bioluminescent" "benthic"
"15181" "Fishes" "Paraliparis rosaceus" "undefined" "pelagic"
"15182" "Scyphozoa" "Paraphyllina" "bioluminescent" "pelagic"
"15283" "Ctenophora" "Pleurobrachia bachei" "non-bioluminescent" "pelagic"
"15820" "Crustacea" "Polycheles" "undefined" "pelagic"
"15842" "Hydromedusae" "Ptychogastria" "undefined" "benthic"
"15860" "Siphonophora" "Rhodaliidae" "bioluminescent" "pelagic"
"16159" "Siphonophora" "Sphaeronectes haddocki" "bioluminescent" "pelagic"
"16185" "Fishes" "Sternoptyx" "bioluminescent" "pelagic"
"16186" "Crustacea" "Storthyngura" "non-bioluminescent" "benthic"
"16216" "Rhizaria" "Tuscaretta globosa" "bioluminescent" "pelagic"
"16217" "Rhizaria" "Tuscaridium cygneum" "bioluminescent" "pelagic"
"16218" "Rhizaria" "Tuscarilla nationalis" "bioluminescent" "pelagic"
"16219" "Rhizaria" "Tuscarilla campanella" "bioluminescent" "pelagic"
"17784" "Pteropoda" "Corolla spectabilis" "non-bioluminescent" "pelagic"
"17785" "Fishes" "Coryphaenoides" "undefined" "benthic"
"18432" "Ctenophora" "Llyria" "bioluminescent" "pelagic"
"18876" "Appendicularia" "Oikopleuridae" "bioluminescent" "pelagic"
"18906" "Thaliacea" "Paradoliopsis" "bioluminescent" "pelagic"
"19507" "Cephalopoda" "Abraliopsis felis" "bioluminescent" "pelagic"
"19728" "Siphonophora" "Agalma" "bioluminescent" "pelagic"
"21034" "Cephalopoda" "Galiteuthis phyllura" "bioluminescent" "pelagic"
"21178" "Ctenophora" "Mertensiidae" "bioluminescent" "pelagic"
"22003" "Cephalopoda" "Taoniinae" "undefined" "pelagic"
"23062" "Fishes" "Chauliodus macouni" "bioluminescent" "pelagic"
"23870" "Fishes" "Pleuronectiformes" "undefined" "benthic"
"24289" "Fishes" "Bathylagoides wesethi" "unlikely" "pelagic"
"24970" "Scyphozoa" "Nausithoe" "bioluminescent" "pelagic"
"25131" "Siphonophora" "Sphaeronectes tiburonae" "bioluminescent" "pelagic"
"25134" "Cephalopoda" "Taonius" "bioluminescent" "pelagic"
"25135" "Hydromedusae" "Tetrorchis sp. A" "bioluminescent" "pelagic"
