"Group" "Concept" "Biolum" "Habitat"
"104430" "Chaetognatha" "Eukrohnia" "non-bioluminescent" "pelagic"
"104432" "Ctenophora" "Euplokamidae" "bioluminescent" "pelagic"
"104466" "Scyphozoa" "Tiburonia" "undefined" "pelagic"
"104490" "Ctenophora" "Dryodora glandiformis" "bioluminescent" "pelagic"
"104560" "Crustacea" "Oplophoridae" "bioluminescent" "pelagic"
"104564" "Cephalopoda" "Planctoteuthis danae" "undefined" "pelagic"
"104588" "Fishes" "Chauliodontinae" "bioluminescent" "pelagic"
"104608" "Fishes" "Sternoptyx diaphana" "bioluminescent" "pelagic"
"104631" "Fishes" "Careproctus" "undefined" "benthic"
"107070" "Siphonophora" "Marrus orthocanna" "bioluminescent" "pelagic"
"107779" "Crustacea" "Pleuroncodes planipes" "non-bioluminescent" "benthic"
"108460" "Thaliacea" "Pyrosoma atlanticum" "bioluminescent" "pelagic"
"108754" "Hydromedusae" "Vampyrocrossota childressi" "bioluminescent" "pelagic"
"112168" "Cephalopoda" "Cirrothauma" "undefined" "pelagic"
"112180" "Scyphozoa" "Nausithoe rubra" "bioluminescent" "pelagic"
"112232" "Cephalopoda" "Graneledone boreopacifica" "non-bioluminescent" "benthic"
"112235" "Crustacea" "Lithodidae" "non-bioluminescent" "benthic"
"112237" "Hydromedusae" "Neoturris" "undefined" "pelagic"
"112277" "Siphonophora" "Erenna sp. B" "bioluminescent" "pelagic"
"112303" "Cephalopoda" "Stigmatoteuthis dofleini" "bioluminescent" "pelagic"
"112334" "Pteropoda" "Clio pyramidata" "non-bioluminescent" "pelagic"
"112372" "Thaliacea" "Thetys vagina" "non-bioluminescent" "pelagic"
"112444" "Hydromedusae" "Scrippsia" "non-bioluminescent" "pelagic"
"112459" "Fishes" "Chauliodus" "bioluminescent" "pelagic"
"112662" "Siphonophora" "Vogtia" "bioluminescent" "pelagic"
"112682" "Scyphozoa" "Deepstaria" "undefined" "pelagic"
"112694" "Crustacea" "Isopoda" "non-bioluminescent" "benthic"
"112705" "Crustacea" "Scypholanceola" "non-bioluminescent" "pelagic"
"112707" "Annelida" "Syllidae" "undefined" "pelagic"
"112708" "Thaliacea" "Thetys" "non-bioluminescent" "pelagic"
"112803" "Rhizaria" "Tuscarora" "bioluminescent" "pelagic"
"112836" "Scyphozoa" "Phacellophora camtschatica" "bioluminescent" "pelagic"
"112857" "Siphonophora" "Erenna sp. A" "bioluminescent" "pelagic"
"112912" "Ctenophora" "Bathocyroe fosteri" "bioluminescent" "pelagic"
"113277" "Cephalopoda" "Bolitaenidae" "undefined" "pelagic"
"113278" "Crustacea" "Boreomysis" "non-bioluminescent" "pelagic"
"113565" "Fishes" "Lycodes" "unlikely" "benthic"
"113688" "Crustacea" "Ostracoda" "undefined" "pelagic"
"113711" "Hydromedusae" "Phialidium" "bioluminescent" "pelagic"
"113794" "Chaetognatha" "Pseudosagitta lyra" "non-bioluminescent" "pelagic"
"114293" "Scyphozoa" "Atolla parva" "bioluminescent" "pelagic"
"114868" "Crustacea" "Gammaridea" "non-bioluminescent" "benthic"
"115195" "Ctenophora" "Pleurobrachia" "non-bioluminescent" "pelagic"
"118866" "Ctenophora" "Cestidae" "bioluminescent" "pelagic"
"119087" "Crustacea" "Gigantocypris dracontovalis" "non-bioluminescent" "pelagic"
"119269" "Appendicularia" "Oikopleura villafrancae" "bioluminescent" "pelagic"
"119275" "Fishes" "Osteodiscus" "undefined" "benthic"
"119443" "Crustacea" "Scinoidea" "bioluminescent" "pelagic"
"120624" "Crustacea" "Cystisoma pellucida" "non-bioluminescent" "pelagic"
"120655" "Hydromedusae" "Euphysora valdiviae" "bioluminescent" "pelagic"
"120760" "Chaetognatha" "Heterokrohnia involucrum" "non-bioluminescent" "pelagic"
"120970" "Hydromedusae" "Pandeidae" "undefined" "pelagic"
"123163" "Crustacea" "Hyperiidae" "undefined" "pelagic"
"123570" "Annelida" "Onuphidae" "undefined" "pelagic"
"127267" "Hydromedusae" "Calycopsis simulans" "bioluminescent" "pelagic"
"128020" "Crustacea" "Systellaspis" "bioluminescent" "pelagic"
"128024" "Fishes" "Tactostoma" "bioluminescent" "pelagic"
"128673" "Fishes" "Engraulidae" "undefined" "pelagic"
"132716" "Siphonophora" "Lensia baryi" "bioluminescent" "pelagic"
"133188" "Crustacea" "Pasiphaea pacifica" "non-bioluminescent" "pelagic"
"133519" "Hydromedusae" "Voragonema" "bioluminescent" "pelagic"
"134953" "Scyphozoa" "Periphyllidae" "bioluminescent" "pelagic"
"135168" "Fishes" "Saccopharynx lavenbergi" "bioluminescent" "pelagic"
"135933" "Annelida" "Flabelligeridae" "bioluminescent" "pelagic"
"135974" "Ctenophora" "Lampea pancerina" "bioluminescent" "pelagic"
"135993" "Siphonophora" "Maresearsia praeclara" "bioluminescent" "pelagic"
"136278" "Hydromedusae" "Rhopalonema funerarium" "bioluminescent" "pelagic"
"140024" "Crustacea" "Euphausia" "bioluminescent" "pelagic"
"143812" "Chaetognatha" "Sagitta" "non-bioluminescent" "pelagic"
"144157" "Siphonophora" "Agalmatidae" "bioluminescent" "pelagic"
"144554" "Ctenophora" "Beroida" "bioluminescent" "pelagic"
"144560" "Hydromedusae" "Bythotiara depressa" "bioluminescent" "pelagic"
"147955" "Crustacea" "Munnopsoides" "non-bioluminescent" "pelagic"
"152502" "Pteropoda" "Pterotracheoidea" "undefined" "pelagic"
"154781" "Crustacea" "Munnopsis abyssalis" "non-bioluminescent" "pelagic"
"156068" "Crustacea" "Euphausiidae" "bioluminescent" "pelagic"
"156218" "Cephalopoda" "Onychoteuthis borealijaponica" "bioluminescent" "pelagic"
"156422" "Hydromedusae" "Tima" "bioluminescent" "pelagic"
"156552" "Cephalopoda" "Bathyteuthis berryi" "bioluminescent" "pelagic"
"156677" "Thaliacea" "Doliopsidae" "unlikely" "pelagic"
"157044" "Annelida" "Ampharetidae" "undefined" "benthic"
"157045" "Annelida" "Aphroditidae" "undefined" "benthic"
"157399" "Scyphozoa" "Periphyllopsis galatheae" "bioluminescent" "pelagic"
"157566" "Hydromedusae" "Voragonema pedunculata" "bioluminescent" "pelagic"
"159956" "Hydromedusae" "Ptychogastria polaris" "undefined" "benthic"
"160033" "Hydromedusae" "Tiaranna" "bioluminescent" "pelagic"
"161757" "Annelida" "Pontodora pelagica" "non-bioluminescent" "pelagic"
"162754" "Fishes" "Scombridae" "undefined" "pelagic"
"167784" "Fishes" "Careproctus longifilis" "undefined" "benthic"
"167785" "Fishes" "Chaetodontidae" "undefined" "benthic"
"168363" "Fishes" "Stomiiformes" "bioluminescent" "pelagic"
"169774" "Cephalopoda" "Cephalopoda" "undefined" "pelagic"
"169902" "Hydromedusae" "Earleria purpurea" "bioluminescent" "pelagic"
"170435" "Chaetognatha" "Sagittidae" "unlikely" "pelagic"
"171835" "Fishes" "Bathysaurus mollis" "undefined" "benthic"
"172201" "Fishes" "Carangidae" "undefined" "pelagic"
"173427" "Fishes" "Cyematidae" "undefined" "pelagic"
"173441" "Thaliacea" "Dolioletta" "non-bioluminescent" "pelagic"
"173467" "Thaliacea" "Doliolida 2" "non-bioluminescent" "pelagic"
"174975" "Fishes" "Ophidiidae" "undefined" "benthic"
"175041" "Hydromedusae" "Pegantha clara" "bioluminescent" "pelagic"
"176918" "Fishes" "Stomias" "bioluminescent" "pelagic"
"180291" "Cephalopoda" "Octopoda" "unlikely" "benthic"
"181940" "Fishes" "Melanostigma" "unlikely" "pelagic"
"184071" "Fishes" "Chaenophryne" "bioluminescent" "pelagic"
"185257" "Fishes" "Sardinops" "non-bioluminescent" "pelagic"
"185292" "Hydromedusae" "Tiarannidae" "bioluminescent" "pelagic"
"185333" "Hydromedusae" "Aegina rosea" "bioluminescent" "pelagic"
"186958" "Rhizaria" "Tuscarantha" "bioluminescent" "pelagic"
"187743" "Siphonophora" "Nectopyramis natans" "bioluminescent" "pelagic"
"190294" "Fishes" "Idiacanthinae" "bioluminescent" "pelagic"
"192643" "Rhizaria" "Planktonetta" "undefined" "pelagic"
"193382" "Pteropoda" "Cephalopyge trematoides" "undefined" "pelagic"
"196305" "Hydromedusae" "Polyorchis" "non-bioluminescent" "pelagic"
"197008" "Rhizaria" "Medusetta" "bioluminescent" "pelagic"
"198690" "Scyphozoa" "Deepstaria reticulum" "undefined" "pelagic"
"199170" "Fishes" "Paraliparis dactylosus" "undefined" "pelagic"
"199759" "Thaliacea" "Pseudusa" "bioluminescent" "pelagic"
"201827" "Rhizaria" "Medusettidae" "bioluminescent" "pelagic"
"202495" "Siphonophora" "Forskalia formosa" "bioluminescent" "pelagic"
"204971" "Hydromedusae" "Aequorea" "bioluminescent" "pelagic"
"208301" "Pteropoda" "Gymnosomata" "undefined" "pelagic"
"210205" "Fishes" "Synodontidae" "undefined" "benthic"
"213015" "Fishes" "Peprilus" "undefined" "pelagic"
"216514" "Crustacea" "Euphausia pacifica" "bioluminescent" "pelagic"
"216794" "Ctenophora" "Intacta" "bioluminescent" "pelagic"
"217258" "Hydromedusae" "Solmissus marshalli" "bioluminescent" "pelagic"
"217790" "Scyphozoa" "Chrysaora" "non-bioluminescent" "pelagic"
"218005" "Cephalopoda" "Octopus" "non-bioluminescent" "benthic"
"218434" "Fishes" "Prionace glauca" "non-bioluminescent" "pelagic"
"219247" "Fishes" "Mola mola" "non-bioluminescent" "pelagic"
"219923" "Ctenophora" "Charistephane fugiens" "bioluminescent" "pelagic"
"226810" "Fishes" "Icichthys lockingtoni" "undefined" "pelagic"
"226872" "Hydromedusae" "Mitrocomidae" "bioluminescent" "pelagic"
"228516" "Scyphozoa" "Stellamedusa ventana" "unlikely" "pelagic"
"231428" "Hydromedusae" "Tiaropsidium" "bioluminescent" "pelagic"
"233648" "Fishes" "Nemichthys" "undefined" "pelagic"
"241399" "Hydromedusae" "Sarsia" "undefined" "pelagic"
"251313" "Scyphozoa" "Cnidaria" "undefined" "benthic"
"252340" "Scyphozoa" "Scyphozoa" "undefined" "pelagic"
"258285" "Pteropoda" "Pterotracheidae" "non-bioluminescent" "pelagic"
"264548" "Hydromedusae" "Tetraplatia volitans" "bioluminescent" "pelagic"
"265413" "Fishes" "Chaenophryne longiceps" "bioluminescent" "pelagic"
"271720" "Hydromedusae" "Scrippsia pacifica" "non-bioluminescent" "pelagic"
"271974" "Cephalopoda" "Enteroctopus dofleini" "non-bioluminescent" "benthic"
"277477" "Hydromedusae" "Euphysa japonica" "bioluminescent" "pelagic"
"284468" "Fishes" "Oneirodes acanthias" "bioluminescent" "pelagic"
"286835" "Fishes" "Sardinops sagax" "non-bioluminescent" "pelagic"
"287059" "Hydromedusae" "Vampyrocrossota" "bioluminescent" "pelagic"
"322528" "Thaliacea" "Paradoliopsidae" "bioluminescent" "pelagic"
"324890" "Siphonophora" "Nectopyramidinae" "bioluminescent" "pelagic"
"332934" "Rhizaria" "Collozoum" "bioluminescent" "pelagic"
"334689" "Thaliacea" "Pegea confoederata" "non-bioluminescent" "pelagic"
"336705" "Appendicularia" "Bathochordaeus charon" "unlikely" "pelagic"
"336983" "Pteropoda" "Clio cuspidata" "non-bioluminescent" "pelagic"
"337431" "Hydromedusae" "Tetraplatia" "bioluminescent" "pelagic"
"340783" "Siphonophora" "Nanomia 2" "bioluminescent" "pelagic"
"344472" "Pteropoda" "Creseis virgula" "non-bioluminescent" "pelagic"
"350206" "Cephalopoda" "Onykia robusta " "undefined" "pelagic"
"350330" "Scyphozoa" "Stellamedusa" "unlikely" "pelagic"
"350397" "Fishes" "Lophiiformes" "bioluminescent" "benthic"
"1100000" "Holothuroidea" "Abyssocucumis abyssorum" "undefined" "benthic"
"410000" "Hexacorallia" "Actiniaria" "undefined" "benthic"
"810000" "Fishes" "Amblyraja badia" "undefined" "benthic"
"1110000" "Crustacea" "Amphipoda" "undefined" "benthic"
"1310000" "Hexacorallia" "Anthosactis pearseae" "undefined" "benthic"
"1510000" "Hexacorallia" "Antipatharia" "undefined" "benthic"
"1610000" "Asterozoa" "Asteroidea" "unlikely" "benthic"
"1710000" "Hexacorallia" "Bathypathes" "undefined" "benthic"
"2010000" "Cephalopoda" "Benthoctopus sp. 1" "non-bioluminescent" "benthic"
"2310000" "Mollusca" "Bivalvia" "undefined" "benthic"
"2410000" "Hexacorallia" "Cerianthidae" "non-bioluminescent" "benthic"
"2510000" "Annelida" "Chaetopteridae" "likely" "pelagic"
"3110000" "Fishes" "Coryphaenoides armatus-yaquinae complex" "undefined" "benthic"
"3310000" "Mollusca" "Gastropoda" "unlikely" "benthic"
"351705" "Crustacea" "Ischnomesidae" "undefined" "benthic"
"731000" "Fishes" "Macrouridae" "unlikely" "benthic"
"821000" "Annelida" "Maldanidae" "undefined" "benthic"
"831000" "Crustacea" "Munidopsis" "non-bioluminescent" "benthic"
"1121000" "Asterozoa" "Ophiuroidea" "likely" "benthic"
"1191000" "Annelida" "Osedax" "non-bioluminescent" "benthic"
"1201000" "Annelida" "Osedax frankpressi" "non-bioluminescent" "benthic"
"1211000" "Holothuroidea" "Paelopatides confundens" "undefined" "benthic"
"1231000" "Annelida" "Polynoidae" "undefined" "benthic"
"1311000" "Mollusca" "Provannidae" "undefined" "benthic"
"1451000" "Asterozoa" "Pteraster" "undefined" "benthic"
"1631000" "Arthropoda" "Pycnogonida" "unlikely" "benthic"
"1721000" "Crustacea" "Scalpellidae" "undefined" "benthic"
"1761000" "Hexacorallia" "Stomphia" "undefined" "benthic"
"1781000" "Crinoidea" "Tonrometra" "undefined" "benthic"
"1791000" "Echinoidea" "Tromikosoma" "undefined" "benthic"
"2421000" "Octocorallia" "Bathyalcyon robustum" "bioluminescent" "benthic"
"2461000" "Fishes" "Bathyraja abyssicola" "undefined" "benthic"
"2771000" "Asterozoa" "Brisingida" "undefined" "benthic"
"2981000" "Mollusca" "Calyptogena extenta " "non-bioluminescent" "benthic"
"3041000" "Hexacorallia" "Corallimorpharia" "non-bioluminescent" "benthic"
"3131000" "Hexacorallia" "Corallimorphus pilatus" "non-bioluminescent" "benthic"
"3191000" "Echinoidea" "Cystocrepis setigera" "non-bioluminescent" "benthic"
"3231000" "Echinoidea" "Echinoidea" "non-bioluminescent" "benthic"
"3371000" "Hexacorallia" "Hormathiidae" "undefined" "benthic"
"3611000" "Crustacea" "Lithodes" "non-bioluminescent" "benthic"
"474100" "Ctenophora" "Thalassocalicida" "bioluminescent" "pelagic"
"496100" "Crustacea" "Macroregonia" "undefined" "benthic"
"552100" "Fishes" "Pachycara" "unlikely" "benthic"
"553100" "Fishes" "Pachycara bulbiceps" "unlikely" "benthic"
"610100" "Holothuroidea" "Pannychia moseleyi" "bioluminescent" "benthic"
"611100" "Crustacea" "Paralomis" "non-bioluminescent" "benthic"
"612100" "Mollusca" "Patellogastropoda" "non-bioluminescent" "benthic"
"613100" "Octocorallia" "Pennatula phosphorea" "bioluminescent" "benthic"
"635100" "Octocorallia" "Pennatulacea" "likely" "benthic"
"641100" "Porifera" "Porifera" "non-bioluminescent" "benthic"
"688100" "Asterozoa" "Pterasteridae" "undefined" "benthic"
"704100" "Asterozoa" "Solasteridae" "undefined" "benthic"
"706100" "Mollusca" "Solemyidae" "non-bioluminescent" "benthic"
"747100" "Hexacorallia" "Umbellapathes" "undefined" "benthic"
"756100" "Mollusca" "Vesicomyidae" "non-bioluminescent" "benthic"
"788100" "Asterozoa" "Zoroaster" "undefined" "benthic"
"789100" "Asterozoa" "Zoroasteridae" "undefined" "benthic"
"813100" "Fishes" "Coryphaenoides acrolepis" "undefined" "benthic"
"815100" "Mollusca" "Dendronotus patricki" "undefined" "benthic"
"830100" "Hexacorallia" "Liponema brevicorne" "undefined" "benthic"
"837100" "Asterozoa" "Lophaster" "undefined" "benthic"
"951100" "Hexacorallia" "Metridium farcimen" "non-bioluminescent" "benthic"
"965100" "Crustacea" "Pandalopsis" "undefined" "benthic"
"1024100" "Holothuroidea" "Peniagone sp. A" "undefined" "benthic"
"1025100" "Platyhelminthes" "Platyhelminthes" "non-bioluminescent" "pelagic"
"1057100" "Mollusca" "Scaphopoda" "non-bioluminescent" "benthic"
"1060100" "Octocorallia" "Acanthogorgia" "bioluminescent" "benthic"
"1078100" "Mollusca" "Acesta" "undefined" "benthic"
"1079100" "Mollusca" "Acesta mori" "undefined" "benthic"
"1185100" "Fishes" "Antimora" "unlikely" "benthic"
"1190100" "Porifera" "Asbestopluma" "non-bioluminescent" "benthic"
"1191100" "Porifera" "Asbestopluma monticola" "non-bioluminescent" "benthic"
"1227100" "Porifera" "Atlantisella" "non-bioluminescent" "benthic"
"1236100" "Octocorallia" "Calyptrophora" "undefined" "benthic"
"1238100" "Crustacea" "Caprellidae" "non-bioluminescent" "benthic"
"1240100" "Hexacorallia" "Caryophylliidae" "undefined" "benthic"
"1242100" "Asterozoa" "Ceramaster" "undefined" "benthic"
"1249100" "Porifera" "Chonelasma" "non-bioluminescent" "benthic"
"1268100" "Octocorallia" "Clavularia" "undefined" "benthic"
"1281100" "Octocorallia" "Corallium" "undefined" "benthic"
"1304100" "Hexacorallia" "Desmophyllum dianthus" "undefined" "benthic"
"1308100" "Fishes" "Elasmobranchii" "undefined" "benthic"
"1309100" "Porifera" "Farrea" "non-bioluminescent" "benthic"
"1412100" "Crustacea" "Galathea" "non-bioluminescent" "benthic"
"1426100" "Crustacea" "Galatheoidea" "non-bioluminescent" "benthic"
"1427100" "Asterozoa" "Gorgonocephalidae" "undefined" "benthic"
"1428100" "Asterozoa" "Gorgonocephalus" "undefined" "benthic"
"1445100" "Asterozoa" "Henricia" "undefined" "benthic"
"1450100" "Porifera" "Heterochone calyx" "non-bioluminescent" "benthic"
"1465100" "Octocorallia" "Heteropolypus ritteri" "bioluminescent" "benthic"
"1599100" "Porifera" "Hexactinellida" "undefined" "benthic"
"1602100" "Asterozoa" "Hippasteria" "undefined" "benthic"
"1649100" "Fishes" "Lepidion" "undefined" "benthic"
"1650100" "Hydroidolina" "Leptothecata" "undefined" "benthic"
"1651100" "Hexacorallia" "Lillipathes" "undefined" "benthic"
"1767100" "Fishes" "Luciobrotula" "undefined" "benthic"
"1789100" "Octocorallia" "Octocorallia" "undefined" "benthic"
"1801100" "Octocorallia" "Paragorgia" "undefined" "benthic"
"1808100" "Octocorallia" "Paragorgia arborea" "undefined" "benthic"
"1990100" "Octocorallia" "Primnoidae" "undefined" "benthic"
"1999100" "Fishes" "Psychrolutes phrictus" "undefined" "benthic"
"2000100" "Porifera" "Sclerothamnopsis compressa" "non-bioluminescent" "benthic"
"2001100" "Porifera" "Sclerothamnopsis" "non-bioluminescent" "benthic"
"2015100" "Porifera" "Staurocalyptus" "undefined" "benthic"
"2084100" "Octocorallia" "Swiftia kofoidi" "undefined" "benthic"
"2097100" "Porifera" "Thenea" "non-bioluminescent" "benthic"
"2099100" "Porifera" "Thenea muricata" "non-bioluminescent" "benthic"
"2140100" "Porifera" "yellow ruffled sponge" "non-bioluminescent" "benthic"
"2203100" "Hexacorallia" "Actinostolidae" "undefined" "benthic"
"2221100" "Fishes" "Bothrocara" "unlikely" "benthic"
"2230100" "Octocorallia" "Clavularia grandiflora" "undefined" "benthic"
"2234100" "Fishes" "Embassichthys bathybius" "undefined" "benthic"
"2243100" "Crustacea" "Gastroptychus perarmatus" "undefined" "benthic"
"2246100" "Asterozoa" "Goniasteridae" "undefined" "benthic"
"2366100" "Mollusca" "Neoloricata" "undefined" "benthic"
"2405100" "Crustacea" "Paralomis verrilli" "non-bioluminescent" "benthic"
"2475100" "Hexacorallia" "Scleractinia" "non-bioluminescent" "benthic"
"2538100" "Fishes" "Anisotremus davidsonii" "undefined" "benthic"
"2541100" "Echinoidea" "Aporocidaris milleri" "non-bioluminescent" "benthic"
"2544100" "Fishes" "Bathyraja microtrachys" "undefined" "benthic"
"2594100" "Crinoidea" "Crinoidea" "undefined" "benthic"
"2617100" "Annelida" "Echiura" "non-bioluminescent" "benthic"
"2629100" "Porifera" "Hexactinellida sp. 2" "non-bioluminescent" "benthic"
"2630100" "Holothuroidea" "Holothuroidea" "undefined" "benthic"
"2636100" "Octocorallia" "Kophobelemnon" "undefined" "benthic"
"2701100" "Mollusca" "Neptunea-Buccinum Complex" "non-bioluminescent" "benthic"
"2804100" "Octocorallia" "Pennatula" "bioluminescent" "benthic"
"2889100" "Mollusca" "Retimohnia sp. 1" "undefined" "benthic"
"2890100" "Holothuroidea" "Scotoplanes globosa" "undefined" "benthic"
"2906100" "Annelida" "Sipuncula" "undefined" "benthic"
"2910100" "Holothuroidea" "Synallactidae gen. et sp. indet." "undefined" "benthic"
"2930100" "Ctenophora" "Tjalfiella" "unlikely" "benthic"
"2942100" "Octocorallia" "Virgularia" "bioluminescent" "benthic"
"1514510" "Asterozoa" "Hymenaster" "bioluminescent" "benthic"
"1515110" "Fishes" "Liparidae sp. 2" "undefined" "benthic"
"1517810" "Octocorallia" "Protoptilum" "undefined" "benthic"
"1519310" "Hexacorallia" "Sicyonis careyi" "undefined" "benthic"
"1520710" "Rhizaria" "Xenophyophoroidea" "undefined" "benthic"
"1521010" "Hexacorallia" "Anthozoa" "unlikely" "benthic"
"1521610" "Holothuroidea" "Benthothuria" "undefined" "benthic"
"1521810" "Hexacorallia" "Bolocera" "undefined" "benthic"
"1522410" "Hexacorallia" "Ceriantharia" "non-bioluminescent" "benthic"
"1525310" "Octocorallia" "Kophobelemnon sp. 1" "undefined" "benthic"
"1539210" "Octocorallia" "Pennatula murrayi" "bioluminescent" "benthic"
"1545710" "Crustacea" "Storthyngura pulchra" "non-bioluminescent" "benthic"
"1546110" "Holothuroidea" "Synallactidae" "undefined" "benthic"
"1551110" "Fishes" "Anoplopoma fimbria" "undefined" "benthic"
"1551210" "Asterozoa" "Asteroidea sp. 2" "undefined" "benthic"
"1552310" "Echinoidea" "Brisaster" "non-bioluminescent" "benthic"
"1552810" "Crustacea" "Chorilia longipes" "undefined" "benthic"
"1553410" "Fishes" "Eptatretus" "non-bioluminescent" "benthic"
"1553510" "Crustacea" "Eualus macrophthalmus" "undefined" "benthic"
"1553710" "Fishes" "Glyptocephalus zachirus" "undefined" "benthic"
"1554710" "Brachiopoda" "Laqueus californianus" "non-bioluminescent" "benthic"
"1555010" "Fishes" "Lycenchelys crotalinus" "unlikely" "benthic"
"1555210" "Asterozoa" "Mediaster" "undefined" "benthic"
"1558510" "Asterozoa" "Ophiacanthidae" "undefined" "benthic"
"1561010" "Crinoidea" "Psathyrometra fragilis" "undefined" "benthic"
"1561110" "Holothuroidea" "Psolus squamatus" "undefined" "benthic"
"1561510" "Fishes" "Sebastolobus" "non-bioluminescent" "benthic"
"1562610" "Echinoidea" "Strongylocentrotus fragilis" "non-bioluminescent" "benthic"
"1564110" "Echinoidea" "Strongylocentrotus" "non-bioluminescent" "benthic"
"1565210" "Octocorallia" "Swiftia simplex" "undefined" "benthic"
"1566310" "Fishes" "Bathyraja kincaidii" "undefined" "benthic"
"1580610" "Crustacea" "Paguroidea" "undefined" "benthic"
"1600510" "Echinoidea" "Cidaridae" "non-bioluminescent" "benthic"
"1600610" "Crustacea" "Cirripedia" "non-bioluminescent" "benthic"
"1606710" "Annelida" "Phyllochaetopterus gigas" "undefined" "benthic"
"1610610" "Asterozoa" "Asteronychidae" "undefined" "benthic"
"1610710" "Asterozoa" "Asteronyx" "undefined" "benthic"
"1611610" "Crustacea" "Chorilia" "undefined" "benthic"
"1618710" "Crustacea" "Chionoecetes" "undefined" "benthic"
"1618810" "Fishes" "Coryphaenoides pectoralis" "non-bioluminescent" "benthic"
"1621110" "Asterozoa" "Leptychaster" "undefined" "benthic"
"1628710" "Fishes" "Scyliorhinidae" "undefined" "benthic"
"1630110" "Mollusca" "Acharax" "non-bioluminescent" "benthic"
"1641210" "Ascidiacea" "Megalodicopia hians" "non-bioluminescent" "benthic"
"1662910" "Mollusca" "Vesicomya" "non-bioluminescent" "benthic"
"1670310" "Mollusca" "Idas washingtonius" "undefined" "benthic"
"1672310" "Mollusca" "Neptunea" "non-bioluminescent" "benthic"
"1675710" "Crinoidea" "Antedonoidea" "undefined" "benthic"
"1676010" "Porifera" "Asbestopluma sp. A" "non-bioluminescent" "benthic"
"1676510" "Mollusca" "Calliostoma" "undefined" "benthic"
"1676910" "Ascidiacea" "Cnemidocarpa" "non-bioluminescent" "benthic"
"1677010" "Hexacorallia" "Corallimorphus" "non-bioluminescent" "benthic"
"1678210" "Annelida" "Hirudinea" "non-bioluminescent" "benthic"
"1681810" "Asterozoa" "Rathbunaster californicus" "non-bioluminescent" "benthic"
"1682110" "Annelida" "Sabellidae" "non-bioluminescent" "benthic"
"1683310" "Octocorallia" "Swiftia" "undefined" "benthic"
"1684910" "Octocorallia" "Halipteris" "undefined" "benthic"
"1687710" "Mollusca" "Nudibranchia" "undefined" "benthic"
"1691910" "Octocorallia" "Alcyonacea" "undefined" "benthic"
"1692810" "Fishes" "Bathyraja" "undefined" "benthic"
"1695210" "Crustacea" "Callianassidae" "non-bioluminescent" "benthic"
"1696710" "Hydroidolina" "Hydractiniidae" "bioluminescent" "benthic"
"1717610" "Echinoidea" "Pourtalesiidae" "non-bioluminescent" "benthic"
"1721610" "Echinoidea" "Tromikosoma panamense" "undefined" "benthic"
"1725210" "Holothuroidea" "Apostichopus" "undefined" "benthic"
"1725310" "Fishes" "Apristurus kampae" "undefined" "benthic"
"1733710" "Mollusca" "Columbellidae" "non-bioluminescent" "benthic"
"1740610" "Hexacorallia" "Liponema" "undefined" "benthic"
"1745210" "Fishes" "Parmaturus xaniurus" "undefined" "benthic"
"1753410" "Crustacea" "Pandalopsis ampla" "undefined" "benthic"
"1876610" "Hexacorallia" "Actiniidae sp. 1" "undefined" "benthic"
"1882110" "Fishes" "Apristurus brunneus" "undefined" "benthic"
"1882310" "Asterozoa" "Asteronyx longifissus" "undefined" "benthic"
"1883010" "Mollusca" "Calliostoma platinum" "undefined" "benthic"
"1883310" "Hexacorallia" "Ceriantharia sp. 2" "non-bioluminescent" "benthic"
"1883810" "Hexacorallia" "Ceriantharia sp. 1" "non-bioluminescent" "benthic"
"1885910" "Octocorallia" "Funiculina" "bioluminescent" "benthic"
"1887110" "Fishes" "Lycenchelys sp. 1" "unlikely" "benthic"
"1890610" "Asterozoa" "Myxoderma" "undefined" "benthic"
"1899610" "Fishes" "Osmeridae" "undefined" "benthic"
"1912210" "Fishes" "Sebastolobus alascanus" "non-bioluminescent" "benthic"
"1932210" "Fishes" "Careproctus melanurus" "undefined" "benthic"
"1932310" "Crustacea" "Chionoecetes tanneri" "undefined" "benthic"
"1935010" "Asterozoa" "Crossaster borealis" "undefined" "benthic"
"1941110" "Hexacorallia" "Hormathiidae sp. 1" "bioluminescent" "benthic"
"1942210" "Hexacorallia" "Isosicyonis" "undefined" "benthic"
"1947110" "Crustacea" "Pagurus tanneri" "non-bioluminescent" "benthic"
"1950510" "Mollusca" "Tritonia tetraquetra" "undefined" "benthic"
"1950610" "Octocorallia" "Umbellula lindahli" "bioluminescent" "benthic"
"1962710" "Hemichordata" "Allapasus" "undefined" "benthic"
"1966910" "Crinoidea" "Bathymetrinae" "undefined" "benthic"
"1975710" "Hexacorallia" "Bathyphellia" "undefined" "benthic"
"1975910" "Holothuroidea" "Benthodytes aff. typica" "bioluminescent" "benthic"
"1976010" "Holothuroidea" "Benthodytes" "bioluminescent" "benthic"
"1976510" "Hexacorallia" "Bolocera kensmithi" "undefined" "benthic"
"1978310" "Mollusca" "Buccinidae" "non-bioluminescent" "benthic"
"1980910" "Porifera" "Chondrocladia sp. 4" "non-bioluminescent" "benthic"
"1981010" "Porifera" "Cladorhizidae" "non-bioluminescent" "benthic"
"1992910" "Holothuroidea" "Elpidia sp. A" "undefined" "benthic"
"1993710" "Porifera" "Euplectellidae" "non-bioluminescent" "benthic"
